,Word,Count
1746,ship,1
332,chinese,1
333,chino,1
334,choice,1
335,choices,1
8,accept,1
9,accident,1
1761,shot,1
1771,shrinkin,1
312,charge,1
313,charged,1
1776,siempre,1
1775,sidewalks,1
10,acostumbra,1
315,charter,1
316,chasing,1
1770,shred,1
322,checkin,1
2308,yards,1
319,cheating,1
1767,showed,1
1766,showcasin,1
1765,shovel,1
321,checked,1
1763,shouldnt,1
336,choir,1
1740,sheeran,1
1739,sheepskin,1
1713,sellin,1
347,circle,1
348,circles,1
2314,years,1
1715,sensation,1
2315,yeeeah,1
2316,yeezy,1
351,ckay,1
1712,sell,1
1720,session,1
1711,self,1
352,claim,1
2317,yellow,1
1709,seek,1
1708,seeing,1
1707,seed,1
1706,security,1
1719,servin,1
1721,settlement,1
337,choke,1
342,choppers,1
1737,sharo,1
1736,shark,1
1735,sharin,1
1734,shape,1
2313,yearned,1
338,choker,1
339,chokin,1
1730,shadow,1
1722,settlin,1
1729,shacarri,1
343,chorus,1
344,chosen,1
1726,s*****,1
345,chuck,1
1724,severely,1
1723,settling,1
29,ahahahahah,1
233,bros,1
238,brushed,1
97,awake,1
2133,tuned,1
2132,tshirts,1
109,baggage,1
2129,tryin,1
111,baguettey,1
112,baguetties,1
2126,truly,1
113,bail,1
114,baka,1
2123,trouble,1
2122,trophy,1
2121,tripping,1
2120,trip,1
2119,trina,1
115,baking,1
2117,tricks,1
2116,trial,1
2134,turks,1
2243,wesson,1
53,andabas,1
2239,weirdos,1
98,awards,1
2149,uhtuuhtututu,1
2148,u***,1
2147,uber,1
99,aware,1
2145,twotone,1
2144,twodoor,1
2143,twisted,1
106,backwood,1
2142,twins,1
2240,wendys,1
2140,tweets,1
2139,tututu,1
2138,turnt,1
104,backing,1
105,backseat,1
2115,tres,1
2114,trends,1
2113,trending,1
2087,tootsies,1
128,bash,1
130,batman,1
47,amazing,1
2091,totori,1
2090,torture,1
2089,toque,1
2088,topic,1
2086,toothbrush,1
2096,towers,1
134,beats,1
2251,whippin,1
46,amar,1
2082,tonguetied,1
44,alpha,1
2079,tomboy,1
2078,tolerating,1
127,basement,1
126,barkin,1
2112,treme,1
119,bando,1
51,amiri,1
2111,trees,1
2110,tree,1
116,balboa,1
2108,trash,1
2107,trappin,1
117,balenciaga,1
2104,train,1
2098,toys,1
2246,wheels,1
122,bangin,1
123,baptized,1
49,ambulances,1
2248,wheres,1
2100,tracks,1
125,bargain,1
2151,unappreciated,1
2153,underneath,1
2076,toes,1
96,avoiding,1
72,architectural,1
74,arent,1
75,argue,1
2206,waited,1
76,ariana,1
2204,waisted,1
78,arriba,1
2202,voodoo,1
2201,volver,1
79,arrow,1
80,artists,1
2198,visitor,1
2197,visit,1
57,anger,1
81,ashamed,1
82,asked,1
2194,ville,1
71,apron,1
2211,walked,1
69,appeal,1
64,anxiety,1
61,anonymest,1
2225,watchin,1
62,answer,1
2223,wasting,1
63,answers,1
58,anniversaries,1
2221,waste,1
2219,warned,1
2213,walking,1
2230,wear,1
2231,wearin,1
2217,wanting,1
2232,wearing,1
67,apart,1
2233,weary,1
2234,weather,1
2193,villain,1
2192,vide,1
83,askin,1
2163,unzip,1
2170,vacant,1
2169,usually,1
92,audemars,1
2167,uptown,1
93,aunt,1
2165,updo,1
2164,updated,1
2162,unsad,1
2238,weighing,1
2161,unread,1
2160,unquenchable,1
2159,unprotected,1
94,avenue,1
95,avoid,1
2156,unique,1
2155,unfazed,1
2171,vaccine,1
90,attack,1
2190,victorias,1
85,asleep,1
2189,victor,1
2188,victim,1
2187,vibration,1
84,asleeeeeeeeeep,1
2185,vets,1
2184,vespa,1
56,angels,1
2182,versuz,1
2174,vamo,1
2181,versus,1
86,a******,1
87,association,1
88,atlanta,1
55,angel,1
2176,veneno,1
2175,vegas,1
141,bein,1
2075,todayski,1
1923,strap,1
1995,tape,1
205,boyfriend,1
1972,sweating,1
1971,sweatin,1
207,bragging,1
2268,wisdom,1
209,brains,1
1967,swallowed,1
1966,swag,1
1965,survived,1
210,brainstormin,1
1963,surreal,1
1962,surgery,1
1961,surf,1
211,brandnew,1
1959,supposedly,1
1958,super,1
212,brass,1
1974,sweetest,1
1975,sweetheart,1
1976,swervin,1
199,botella,1
190,bonet,1
191,book,1
2265,wine,1
